iter	Passed	Remaining
371	7798	13165
372	7816	13138
373	7834	13112
374	7851	13085
375	7870	13062
376	7890	13038
377	7910	13017
378	7928	12991
379	7945	12963
380	7965	12940
381	7979	12909
382	7993	12877
383	8006	12843
384	8018	12808
385	8030	12774
386	8042	12739
387	8055	12706
388	8068	12673
389	8080	12638
390	8093	12605
391	8105	12571
392	8117	12537
393	8129	12503
394	8141	12469
395	8152	12435
396	8164	12400
397	8176	12367
398	8188	12334
399	8201	12302
400	8214	12270
401	8227	12239
402	8242	12210
403	8255	12179
404	8267	12145
405	8279	12114
406	8292	12082
407	8304	12050
408	8318	12019
409	8330	11988
410	8342	11955
411	8354	11923
412	8366	11892
413	8379	11861
414	8393	11831
415	8404	11799
416	8416	11767
417	8428	11735
418	8440	11703
419	8452	11671
420	8463	11640
421	8475	11608
422	8487	11577
423	8498	11545
424	8510	11514
425	8521	11482
426	8533	11450
427	8545	11420
428	8557	11390
429	8569	11359
430	8581	11328
431	8593	11298
432	8605	11268
433	8618	11240
434	8640	11222
435	8652	11192
436	8664	11162
437	8675	11131
438	8687	11102
439	8700	11072
440	8711	11042
441	8723	11012
442	8736	10984
443	8747	10954
444	8759	10924
445	8770	10894
446	8782	10865
447	8793	10835
448	8806	10807
449	8818	10777
450	8830	10748
451	8841	10719
452	8852	10689
453	8864	10660
454	8875	10631
455	8887	10602
456	8899	10574
457	8911	10545
458	8923	10517
459	8934	10488
460	8946	10460
461	8959	10432
462	8970	10404
463	8981	10375
464	8992	10346
465	9004	10318
466	9015	10289
467	9026	10261
468	9037	10232
469	9049	10205
470	9061	10177
471	9073	10149
472	9084	10121
473	9095	10093
474	9106	10065
475	9117	10037
476	9130	10010
477	9140	9982
478	9152	9955
479	9165	9929
480	9176	9901
481	9188	9874
482	9200	9847
483	9213	9822
484	9226	9796
485	9237	9769
486	9248	9742
487	9260	9715
488	9271	9688
489	9282	9661
490	9293	9634
491	9304	9607
492	9315	9580
493	9327	9554
494	9339	9528
495	9350	9501
496	9361	9474
497	9373	9448
498	9384	9422
499	9396	9396
500	9406	9369
501	9418	9343
502	9429	9317
503	9441	9291
504	9452	9265
505	9464	9240
506	9475	9213
507	9486	9188
508	9498	9162
509	9509	9136
510	9521	9111
511	9532	9085
512	9543	9059
513	9559	9039
514	9570	9013
515	9583	8988
516	9595	8964
517	9606	8939
518	9618	8914
519	9631	8890
520	9642	8864
521	9653	8839
522	9664	8814
523	9676	8790
524	9687	8765
525	9699	8740
526	9710	8715
527	9721	8690
528	9733	8665
529	9744	8641
530	9756	8617
531	9767	8592
532	9779	8568
533	9790	8544
534	9802	8519
535	9814	8496
536	9825	8471
537	9837	8447
538	9849	8424
539	9860	8400
540	9872	8375
541	9884	8352
542	9895	8328
543	9908	8305
544	9919	8281
545	9930	8257
546	9942	8234
547	9953	8209
548	9964	8185
549	9976	8162
550	9987	8138
551	9998	8115
552	10010	8091
553	10021	8067
554	10032	8044
555	10044	8020
556	10055	7997
557	10067	7974
558	10078	7951
559	10090	7927
560	10101	7904
561	10111	7880
562	10122	7857
563	10134	7834
564	10145	7810
565	10156	7787
566	10180	7774
567	10194	7753
568	10206	7731
569	10218	7709
570	10229	7685
571	10241	7663
572	10252	7640
573	10264	7617
574	10275	7595
575	10286	7571
576	10296	7548
577	10308	7526
578	10319	7503
579	10330	7480
580	10340	7457
581	10351	7434
582	10363	7412
583	10374	7389
584	10385	7367
585	10397	7345
586	10408	7323
587	10419	7301
588	10430	7278
589	10441	7255
590	10452	7233
591	10463	7211
592	10474	7189
593	10485	7166
594	10496	7144
595	10508	7123
596	10520	7101
597	10531	7079
598	10542	7057
599	10553	7035
600	10565	7014
601	10575	6991
602	10586	6969
603	10597	6948
604	10610	6927
605	10622	6906
606	10633	6884
607	10644	6862
608	10656	6842
609	10668	6820
610	10680	6799
611	10691	6777
612	10702	6756
613	10713	6734
614	10724	6713
615	10735	6692
616	10746	6670
617	10757	6649
618	10768	6628
619	10779	6606
620	10791	6585
621	10801	6564
622	10812	6543
623	10824	6522
624	10835	6501
625	10845	6479
626	10856	6458
627	10868	6437
628	10879	6417
629	10890	6396
630	10902	6375
631	10913	6354
632	10924	6333
633	10934	6312
634	10946	6292
635	10958	6271
636	10969	6250
637	10981	6230
638	10992	6210
639	11006	6191
640	11022	6173
641	11047	6160
642	11078	6150
643	11108	6140
644	11135	6129
645	11164	6117
646	11191	6105
647	11222	6096
648	11253	6086
649	11286	6077
650	11309	6063
651	11343	6054
652	11374	6044
653	11402	6032
654	11428	6019
655	11458	6008
656	11485	5996
657	11512	5983
658	11539	5970
659	11568	5959
660	11590	5944
661	11612	5928
662	11632	5912
663	11661	5901
664	11687	5887
665	11713	5874
666	11739	5860
667	11765	5847
668	11790	5833
669	11816	5820
670	11845	5807
671	11876	5796
672	11906	5784
673	11934	5772
674	11961	5759
675	11986	5745
676	12013	5731
677	12038	5717
678	12065	5704
679	12097	5693
680	12127	5681
681	12161	5670
682	12200	5662
683	12231	5650
684	12257	5636
685	12285	5623
686	12312	5609
687	12339	5595
688	12367	5582
689	12395	5569
690	12421	5554
691	12447	5540
692	12472	5525
693	12498	5510
694	12524	5496
695	12550	5481
696	12574	5466
697	12618	5459
698	12644	5444
699	12670	5430
700	12695	5415
701	12719	5399
702	12746	5385
703	12772	5370
704	12799	5355
705	12828	5342
706	12857	5328
707	12883	5313
708	12903	5295
709	12923	5278
710	12947	5262
711	12971	5246
712	12998	5232
713	13022	5216
714	13049	5201
715	13077	5187
716	13105	5172
717	13133	5158
718	13160	5143
719	13188	5128
720	13214	5113
721	13246	5100
722	13274	5085
723	13295	5068
724	13317	5051
725	13344	5036
726	13371	5021
727	13398	5006
728	13427	4991
729	13453	4976
730	13477	4959
731	13504	4944
732	13532	4929
733	13559	4914
734	13587	4898
735	13601	4878
736	13614	4858
737	13626	4837
738	13638	4816
739	13649	4795
740	13661	4775
741	13673	4754
742	13685	4733
743	13697	4713
744	13709	4692
745	13721	4672
746	13733	4651
747	13745	4630
748	13757	4610
749	13769	4589
750	13780	4569
751	13793	4548
752	13805	4528
753	13816	4507
754	13828	4487
755	13841	4467
756	13852	4446
757	13864	4426
758	13876	4405
759	13888	4385
760	13899	4365
761	13910	4344
762	13922	4324
763	13933	4303
764	13944	4283
765	13956	4263
766	13968	4243
767	13980	4223
768	13991	4203
769	14003	4182
770	14016	4163
771	14028	4143
772	14040	4123
773	14051	4102
774	14063	4082
775	14075	4062
776	14086	4042
777	14097	4022
778	14108	4002
779	14120	3982
780	14131	3962
781	14142	3942
782	14154	3922
783	14166	3903
784	14178	3883
785	14190	3863
786	14202	3843
787	14216	3824
788	14228	3805
789	14239	3785
790	14250	3765
791	14262	3745
792	14273	3725
793	14284	3706
794	14296	3686
795	14307	3666
796	14318	3646
797	14329	3627
798	14339	3607
799	14351	3587
800	14362	3568
801	14373	3548
802	14384	3528
803	14395	3509
804	14406	3489
805	14417	3470
806	14429	3450
807	14440	3431
808	14452	3412
809	14463	3392
810	14475	3373
811	14486	3353
812	14497	3334
813	14509	3315
814	14520	3296
815	14530	3276
816	14542	3257
817	14553	3237
818	14564	3218
819	14576	3199
820	14587	3180
821	14598	3161
822	14610	3142
823	14621	3123
824	14633	3103
825	14644	3084
826	14655	3065
827	14666	3046
828	14677	3027
829	14689	3008
830	14700	2989
831	14712	2970
832	14723	2951
833	14734	2932
834	14746	2913
835	14758	2895
836	14770	2876
837	14782	2857
838	14793	2838
839	14804	2819
840	14816	2801
841	14827	2782
842	14839	2763
843	14850	2744
844	14861	2726
845	14872	2707
846	14884	2688
847	14895	2670
848	14907	2651
849	14919	2632
850	14931	2614
851	14942	2595
852	14954	2577
853	14965	2558
854	14977	2539
855	14989	2521
856	15002	2503
857	15013	2484
858	15025	2466
859	15038	2448
860	15050	2429
861	15068	2412
862	15083	2394
863	15102	2377
864	15123	2360
865	15138	2342
866	15151	2324
867	15165	2306
868	15178	2288
869	15191	2270
870	15204	2251
871	15216	2233
872	15229	2215
873	15241	2197
874	15254	2179
875	15266	2161
876	15278	2142
877	15291	2124
878	15304	2106
879	15317	2088
880	15329	2070
881	15341	2052
882	15354	2034
883	15367	2016
884	15379	1998
885	15391	1980
886	15402	1962
887	15414	1944
888	15426	1926
889	15438	1908
890	15450	1890
891	15462	1872
892	15478	1854
893	15490	1836
894	15502	1818
895	15515	1800
896	15527	1783
897	15542	1765
898	15554	1747
899	15567	1729
900	15579	1711
901	15593	1694
902	15604	1676
903	15617	1658
904	15628	1640
905	15641	1622
906	15653	1605
907	15667	1587
908	15682	1569
909	15695	1552
910	15707	1534
911	15720	1516
912	15734	1499
913	15746	1481
914	15756	1463
915	15768	1445
916	15780	1428
917	15791	1410
918	15802	1392
919	15815	1375
920	15826	1357
921	15837	1339
922	15849	1322
923	15861	1304
924	15872	1286
925	15885	1269
926	15897	1251
927	15908	1234
928	15920	1216
929	15932	1199
930	15944	1181
931	15955	1164
932	15966	1146
933	15983	1129
934	15998	1112
935	16012	1094
936	16025	1077
937	16035	1059
938	16046	1042
939	16057	1024
940	16069	1007
941	16080	990
942	16091	972
943	16102	955
944	16113	937
945	16124	920
946	16135	903
947	16147	885
948	16158	868
949	16172	851
950	16184	833
951	16197	816
952	16208	799
953	16219	782
954	16232	764
955	16242	747
956	16254	730
957	16265	713
958	16276	695
959	16288	678
960	16299	661
961	16310	644
962	16321	627
963	16335	610
964	16348	592
965	16361	575
966	16373	558
967	16384	541
968	16395	524
969	16407	507
970	16418	490
971	16429	473
972	16440	456
973	16451	439
974	16462	422
975	16474	405
976	16485	388
977	16496	371
978	16507	354
979	16518	337
980	16530	320
981	16543	303
982	16556	286
983	16569	269
984	16583	252
985	16595	235
986	16613	218
987	16624	201
988	16635	185
989	16646	168
990	16657	151
991	16668	134
992	16679	117
993	16690	100
994	16701	83
995	16712	67
996	16723	50
997	16734	33
998	16745	16
999	16756	0
