iter	Logloss
0	0.666222716
1	0.6435183369
2	0.6242666568
3	0.6077545282
4	0.592946768
5	0.5805951156
6	0.5695532278
7	0.5602043931
8	0.552014847
9	0.5447949454
10	0.5384860594
11	0.5327518389
12	0.5278494428
13	0.5241867362
14	0.5204415847
15	0.5172078064
16	0.5142868566
17	0.5116321338
18	0.5094166934
19	0.5073557463
20	0.5056918998
21	0.5040790139
22	0.5027702111
23	0.5017946076
24	0.5007056031
25	0.4996970605
26	0.4987810707
27	0.4978149912
28	0.4970410509
29	0.4960475523
30	0.4953512214
31	0.494668074
32	0.4939329418
33	0.4930643738
34	0.4924761706
35	0.4917912663
36	0.4913426646
37	0.4907933939
38	0.4902736611
39	0.4897728342
40	0.4892768381
41	0.4888805074
42	0.4884047011
43	0.4879900462
44	0.4875488342
45	0.4871501433
46	0.4867292441
47	0.4864666893
48	0.4860750808
49	0.4854381083
50	0.4851457727
51	0.4847614384
52	0.4842925635
53	0.4839720879
54	0.4834204008
55	0.4830106061
56	0.4825993056
57	0.482165447
58	0.481761971
59	0.4814854973
60	0.4811505864
61	0.4808313215
62	0.4805023586
63	0.4801686988
64	0.4797214676
65	0.4794579337
66	0.4791314068
67	0.4789072489
68	0.4786071552
69	0.4781961538
70	0.4778949841
71	0.4774647798
72	0.4771055366
73	0.4767623198
74	0.4764297333
75	0.4762164752
76	0.4757244306
77	0.4754242236
78	0.4752203562
79	0.4750084908
80	0.4746503092
81	0.4745165849
82	0.4742988292
83	0.4740536407
84	0.4737736971
85	0.4735416671
86	0.473195737
87	0.4730198753
88	0.4728101437
89	0.4726373822
90	0.4723883054
91	0.4718770663
92	0.4715367324
93	0.4713156539
94	0.4709701135
95	0.4705609544
96	0.4702890651
97	0.4698035867
98	0.4693182722
99	0.4690575819
100	0.4686222125
101	0.4684488784
102	0.4681730064
103	0.4677397313
104	0.4675443983
105	0.4673388029
106	0.4671150172
107	0.4668795008
108	0.4666006047
109	0.4662028488
110	0.465913772
111	0.4656461994
112	0.4654162346
113	0.4652342225
114	0.4651132632
115	0.4646907833
116	0.4644491843
117	0.4642210919
118	0.4638304227
119	0.4635683838
120	0.4631748498
121	0.462996034
122	0.4627141627
123	0.4625631165
124	0.4623161482
125	0.4621926829
126	0.461961697
127	0.4617746791
128	0.4614890303
129	0.4611938572
130	0.4609260016
131	0.4606402441
132	0.4604993979
133	0.4603536572
134	0.4600400886
135	0.4598804547
136	0.4595999356
137	0.4593402243
138	0.4591605391
139	0.4589382608
140	0.4586551682
141	0.4584379458
142	0.4581862719
143	0.4578194142
144	0.4576171787
145	0.4574650674
146	0.4572907253
147	0.4571133821
148	0.4568507698
149	0.4564913413
150	0.4561915692
151	0.4557992097
152	0.4555228167
153	0.4552356956
154	0.4549106082
155	0.4547540931
156	0.4545698141
157	0.4543350121
158	0.4540385072
159	0.4538875349
160	0.4536009697
161	0.4533267931
162	0.4531571646
163	0.4529864654
164	0.4527276951
165	0.4524957246
166	0.4523107371
167	0.4521640484
168	0.4520120843
169	0.4517898511
170	0.4515870222
171	0.4512972905
172	0.4510738547
173	0.4508130633
174	0.4506923883
175	0.4504152628
176	0.4500230937
177	0.4497281424
178	0.4495840973
179	0.4493542824
180	0.449096652
181	0.4488052402
182	0.4485634265
183	0.4482382545
184	0.4479794371
185	0.447680139
186	0.4474634924
187	0.4472134054
188	0.4469067273
189	0.4466589413
190	0.4464215529
191	0.4462959336
192	0.4461059272
193	0.4458489598
194	0.4456447676
195	0.4453750482
196	0.4449993816
197	0.4448536403
198	0.4445472362
199	0.4443260557
200	0.4441213541
201	0.4438455761
202	0.4435033696
203	0.4433204029
204	0.4430875608
205	0.442772053
206	0.4425462815
207	0.4423377514
208	0.4419467701
209	0.4416878699
210	0.4415134362
211	0.4413789109
212	0.4412217808
213	0.4409308442
214	0.4406993017
215	0.4403361458
216	0.440164587
217	0.4399514287
218	0.439660229
219	0.4394724765
220	0.4391653547
221	0.4390537673
222	0.4387959564
223	0.4386322534
224	0.4385032031
225	0.4383288503
226	0.4382148002
227	0.4379674572
228	0.4378091521
229	0.4374520955
230	0.4372370449
231	0.4370526259
232	0.4368233806
233	0.436655721
234	0.4364729472
235	0.4363488481
236	0.4360970548
237	0.4359265861
238	0.4357064565
239	0.4353707657
240	0.4352338206
241	0.4350810402
242	0.434880724
243	0.4347325169
244	0.4344971979
245	0.434318946
246	0.4341902994
247	0.4339286483
248	0.4337104263
249	0.4334634736
250	0.4333272019
251	0.4331071924
252	0.4329410494
253	0.4327347714
254	0.4325813115
255	0.4322510536
256	0.4320658487
257	0.431785169
258	0.4314897734
259	0.431345861
260	0.4311836227
261	0.4310535682
262	0.4308871844
263	0.4307363971
264	0.4305135731
265	0.4303671555
266	0.4301814538
267	0.4299316244
268	0.4297404681
269	0.4294647165
270	0.4293827578
271	0.4292340292
272	0.4289564928
273	0.4287580762
274	0.4285380119
275	0.4283327098
276	0.4281854914
277	0.4279823979
278	0.4278357417
279	0.4277166055
280	0.4274990921
281	0.427296886
282	0.4270111567
283	0.4269046533
284	0.4267572177
285	0.4266352877
286	0.4264297319
287	0.4261558712
288	0.4260452277
289	0.4259393577
290	0.4258238312
291	0.4256325977
292	0.4254209287
293	0.4252653088
294	0.4251450747
295	0.4249379426
296	0.4247569731
297	0.424612762
298	0.4244621952
299	0.4242840858
300	0.4240764124
301	0.4238676972
302	0.4236382449
303	0.4233698709
304	0.4230843921
305	0.4229923311
306	0.4228358574
307	0.4226512663
308	0.4225127585
309	0.4223288673
310	0.4220882963
311	0.421841608
312	0.4217366084
313	0.4215123978
314	0.4213499054
315	0.4210534595
316	0.4209360514
317	0.4207488002
318	0.4205933531
319	0.4203368545
320	0.4202303341
321	0.4200447655
322	0.4199012374
323	0.4197852482
324	0.4195866728
325	0.4193980547
326	0.4192202563
327	0.41913228
328	0.4189993184
329	0.4188458674
330	0.4187215442
331	0.4186185577
332	0.4185011453
333	0.4183124788
334	0.4181380411
335	0.4178773102
336	0.4177063799
337	0.4174877548
338	0.4172417938
339	0.4170130356
340	0.4168051887
341	0.4166047734
342	0.416446932
343	0.4163396765
344	0.4160582337
345	0.4159316546
346	0.4158306618
347	0.4156992329
348	0.4156207055
349	0.4154421885
350	0.415279442
351	0.4150027298
352	0.4148481063
353	0.414743813
354	0.4145157222
355	0.4143832518
356	0.4143026762
357	0.4141749892
358	0.4140491362
359	0.4139155031
360	0.4138127739
361	0.4136120261
362	0.4133889163
363	0.4132000815
364	0.4130946583
365	0.4129153107
366	0.4128206667
367	0.4125700294
368	0.4124506151
369	0.4123280305
370	0.4121298605
371	0.4119359247
372	0.4117868216
373	0.4116352278
374	0.4114306642
375	0.4111942568
376	0.411020497
377	0.4108732308
378	0.4107220424
379	0.4104861349
380	0.4103364473
381	0.4101370008
382	0.4098640046
383	0.4097472215
384	0.4095623346
385	0.4094420194
386	0.4093070799
387	0.4091803352
388	0.4090200467
389	0.4089020488
390	0.4087296768
391	0.4085464928
392	0.4084585997
393	0.4083383903
394	0.408262976
395	0.4081518726
396	0.4080457229
397	0.4078595671
398	0.4077543642
399	0.4076592332
400	0.407507946
401	0.4072879817
402	0.4071027244
403	0.4069221578
404	0.4067673093
405	0.4066598344
406	0.4064061134
407	0.4062955341
408	0.4062091933
409	0.4060655318
410	0.4059392634
411	0.4058605866
412	0.4056846742
413	0.4055488494
414	0.4054379522
415	0.4053220499
416	0.4051672403
417	0.404987428
418	0.4048646151
419	0.4047470734
420	0.4046261556
421	0.4044926866
422	0.4043863785
423	0.4042281686
424	0.4039536715
425	0.4038826157
426	0.4037291272
427	0.403574667
428	0.4034693231
429	0.4033443961
430	0.4032482945
431	0.4031269077
432	0.402999879
433	0.4028701071
434	0.4027249255
435	0.402572538
436	0.4024719557
437	0.4023804176
438	0.4022157123
439	0.4021453003
440	0.4020243169
441	0.4018562922
442	0.4017180522
443	0.4016248302
444	0.4015207611
445	0.4013618993
446	0.4012594102
447	0.401063141
448	0.4008945106
449	0.4007912053
450	0.4006421601
451	0.4005071266
452	0.4003995077
453	0.400268731
454	0.4001708355
455	0.4000398885
456	0.399895393
457	0.3998189191
458	0.3997150216
459	0.3995936464
460	0.3994911034
461	0.399344114
462	0.3992501373
463	0.3991369726
464	0.3990533129
465	0.3989356347
466	0.3988061474
467	0.398711211
468	0.3985674905
469	0.3984409837
470	0.3983450337
471	0.3982166101
472	0.3981360251
473	0.3980728786
474	0.3979058431
475	0.3978057574
476	0.3976153093
477	0.3975496011
478	0.3973846894
479	0.3971444162
480	0.3970555867
481	0.396897306
482	0.39677422
483	0.3966258977
484	0.3965201562
485	0.3963975815
486	0.3963263379
487	0.3962167218
488	0.3961502795
489	0.3960329055
490	0.3958896542
491	0.3957910926
492	0.3956120637
493	0.3954207121
494	0.3952779721
495	0.3951806526
496	0.3950878137
497	0.3949422146
498	0.3948311841
499	0.3947288937
500	0.3946432418
501	0.3945361271
502	0.3944303162
503	0.3943047655
504	0.3941639017
505	0.3940582245
506	0.3939852946
507	0.3938621003
508	0.3937521949
509	0.3936373375
510	0.3935129718
511	0.3934101471
512	0.3932763829
513	0.3931560009
514	0.3930687775
515	0.3929848725
516	0.3928010425
517	0.3926898804
